IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP24;IP_PROP14;IP_PROP18;IP_PROP19;IP_PROP15;IP_PROP16;IP_PROP35;IP_PROP17;IP_PROP28;IP_PROP25;IP_PROP29;IP_PROP23;IP_PROP32;IP_PROP31;IP_PROP30;IP_PROP45;IP_PROP46;IP_PROP33;IP_PROP34;IC_GROUP0;IC_GROUP1;IC_GROUP2
1163;Анклет из белого золота с бриллиантами;1809;Y;;;/upload/iblock/c06/c06e1e8d4c73053b81040bf39904aa9b.jpg;;text;/upload/iblock/19f/19fa3739eb6aa0246fe6337bdb62e24b.jpg;;text;anklet_iz_belogo_zolota_s_brilliantami;500;;000002;;;;Браслеты;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Анклеты
1164;Анклет из серебра;1810;Y;;;/upload/iblock/59c/59cbac0ed1c293c78fc3fae7b3667781.jpg;;text;/upload/iblock/b43/b4366f8c0011f3810a2a5c30090d05b4.jpg;;text;anklet_iz_serebra;500;;000003;;;;Браслеты;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Браслеты;Анклеты
1165;Анклет из белого золота;1811;Y;;;/upload/iblock/625/625973d9acd6b249e1475269f720fac8.jpg;;text;/upload/iblock/e01/e015017ca84a149a11a2a54e6c75f2df.jpg;;text;anklet_iz_belogo_zolota;500;;000004;;;;;;;;;;;;;;;;;;;Ювелирные изделия;Браслеты;Анклеты
1166;Анклет из желтого золота;1812;Y;;;/upload/iblock/711/7119632b361e60b2188bc3bdaab580c0.jpg;;text;/upload/iblock/601/601f2c5e3fa83e1f1a7851ad78a617cf.jpg;;text;anklet_iz_zheltogo_zolota;500;;000005;;;;Браслеты;Желтое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Анклеты
1206;Браслет-цепь из желтого золота;1813;Y;;;/upload/iblock/d82/d826b9a52cb29d97b93c01ffa8d850f8.jpg;;text;/upload/iblock/817/81760d1b15ec40c89e1af501e86a8fd9.jpg;;text;braslet_tsep_iz_zheltogo_zolota;500;;000006;;;;;;;;;;;;;;;;;;;Ювелирные изделия;Браслеты;Браслеты-цепи
1223;Кольцо из золоченого серебра на две фаланги с фианитом ;1814;Y;;;/upload/iblock/2d6/2d6591a8ddd5181747bbae385bd96a78.jpg;;text;/upload/iblock/71b/71b286c06b1b18dc0e19e115c52ba1e4.jpg;;text;koltso_iz_zolochenogo_serebra_na_dve_falangi_s_fianitom_;500;;93010412;;;;Кольца;Золоченое серебро;;925;;;;;;;;;;;;Ювелирные изделия;Кольца;На 2 фаланги
1224;Браслет-цепь из серебра;1815;Y;;;/upload/iblock/88d/88d164d9fe447d76fce05b5e26196940.jpg;;text;/upload/iblock/326/326f010e443d13f1a9db7f13c45d4181.jpg;;text;braslet_tsep_iz_serebra;500;;000008;;;;Браслеты;Серебро;;925;;;;;;;;;;;;Ювелирные изделия;Браслеты;Браслеты-цепи
1246;Кольцо на две фаланги из белого золота с бриллиантами;1816;Y;;;/upload/iblock/4ea/4ea67daf51ca14d1e595ec1df8d6359c.jpg;;text;/upload/iblock/55d/55dccea28241676108142184d52dc281.jpg;;text;koltso_na_dve_falangi_iz_belogo_zolota_s_brilliantami;500;;1011294;;;;Кольца;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Кольца;На 2 фаланги
1333;Кольцо на две фаланги из золота;1817;Y;;;/upload/iblock/f54/f5432259b8ef63844022781b714e7f22.jpg;;text;/upload/iblock/4d6/4d64af739d78fd3ae850d8a8a9fee3c9.jpg;;text;koltso_na_dve_falangi_iz_zolota;500;;4564789;;;;Кольца;Желтое золото;3.3000;583;;;;;;;;;;1.0000;5.0000;Ювелирные изделия;Кольца;На 2 фаланги
1334;Браслет-цепь из желтого и белого золота;1818;Y;;;/upload/iblock/8eb/8eb92189ef9d453d14f86b1439411d67.jpg;;text;/upload/iblock/6f9/6f9c151e75b6caf43e4129d23112a175.jpg;;text;braslet_tsep_iz_zheltogo_i_belogo_zolota;500;;000010;;;;Браслеты;Желтое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Браслеты-цепи
1334;Браслет-цепь из желтого и белого золота;1818;Y;;;/upload/iblock/8eb/8eb92189ef9d453d14f86b1439411d67.jpg;;text;/upload/iblock/6f9/6f9c151e75b6caf43e4129d23112a175.jpg;;text;braslet_tsep_iz_zheltogo_i_belogo_zolota;500;;000010;;;;Браслеты;Белое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Браслеты-цепи
1341;Браслет-цепь из розового золота;1819;Y;;;/upload/iblock/856/856526f9edd807c11583c2d7a52e9b61.jpg;;text;/upload/iblock/1b6/1b68ce0f4cdded0f6a596c0983f94b9d.jpg;;text;braslet_tsep_iz_rozovogo_zolota;500;;000011;;;;Браслеты;Розовое золото;;585;;;;;;;;;;;;Ювелирные изделия;Браслеты;Браслеты-цепи
